title,genres,one_star,two_star,three_star,four_star,five_star,rating
The Law of Love With God,Romance,1,1,0,0,1,2.7
Don’t Mess with the War Goddess,Action,4,3,3,2,12,3.6
Don’t Mess with the War Goddess,Drama,4,3,3,2,12,3.6
Don’t Mess with the War Goddess,Josei,4,3,3,2,12,3.6
Don’t Mess with the War Goddess,Mystery,4,3,3,2,12,3.6
Don’t Mess with the War Goddess,Romance,4,3,3,2,12,3.6
Fearsome Farmer,Slice of Life,1,1,1,0,6,4
Fearsome Farmer,Historical,1,1,1,0,6,4
Fearsome Farmer,Fantasy,1,1,1,0,6,4
Fearsome Farmer,Xuanhuan,1,1,1,0,6,4
Transmigrated into the World of “Demon Lord Wu Zun”,Adventure,10,7,14,20,112,4.3
Transmigrated into the World of “Demon Lord Wu Zun”,Comedy,10,7,14,20,112,4.3
Transmigrated into the World of “Demon Lord Wu Zun”,Smut,10,7,14,20,112,4.3
Transmigrated into the World of “Demon Lord Wu Zun”,Xianxia,10,7,14,20,112,4.3
Transmigrated into the World of “Demon Lord Wu Zun”,Yaoi,10,7,14,20,112,4.3
Slow-Witted,Mature,5,1,8,7,52,4.4
Slow-Witted,Psychological,5,1,8,7,52,4.4
Slow-Witted,Drama,5,1,8,7,52,4.4
Slow-Witted,Yaoi,5,1,8,7,52,4.4
Slow-Witted,Slice of Life,5,1,8,7,52,4.4
Slow-Witted,Romance,5,1,8,7,52,4.4
The Villain Big Boss Just Wants to Spoil Me,School Life,5,0,12,7,28,4
The Villain Big Boss Just Wants to Spoil Me,Slice of Life,5,0,12,7,28,4
The Villain Big Boss Just Wants to Spoil Me,Comedy,5,0,12,7,28,4
The Villain Big Boss Just Wants to Spoil Me,Romance,5,0,12,7,28,4
To Dream,Shounen Ai,0,0,1,0,2,4.3
To Dream,Historical,0,0,1,0,2,4.3
To Dream,Tragedy,0,0,1,0,2,4.3
Real Missy Relies on Food to Counterattack,Comedy,4,8,13,62,186,4.5
Real Missy Relies on Food to Counterattack,Josei,4,8,13,62,186,4.5
Real Missy Relies on Food to Counterattack,Shoujo,4,8,13,62,186,4.5
Real Missy Relies on Food to Counterattack,Slice of Life,4,8,13,62,186,4.5
Real Missy Relies on Food to Counterattack,Romance,4,8,13,62,186,4.5
Ghost King’s Medical Consort,Fantasy,2,0,0,0,1,2.3
Virtual World: Conquering the World,Action,16,10,10,15,50,3.7
Virtual World: Conquering the World,Fantasy,16,10,10,15,50,3.7
Virtual World: Conquering the World,Harem,16,10,10,15,50,3.7
Embers,School Life,6,3,2,3,42,4.3
Embers,Comedy,6,3,2,3,42,4.3
Embers,Shounen Ai,6,3,2,3,42,4.3
Embers,Slice of Life,6,3,2,3,42,4.3
Embers,Romance,6,3,2,3,42,4.3
The Crimson Dragon,Harem,55,17,21,25,150,3.7
The Crimson Dragon,Adventure,55,17,21,25,150,3.7
The Crimson Dragon,Comedy,55,17,21,25,150,3.7
The Crimson Dragon,Action,55,17,21,25,150,3.7
The Crimson Dragon,Slice of Life,55,17,21,25,150,3.7
The Crimson Dragon,Fantasy,55,17,21,25,150,3.7
Tempest of the Stellar War,School Life,46,38,46,47,216,3.9
Tempest of the Stellar War,Xuanhuan,46,38,46,47,216,3.9
Tempest of the Stellar War,Harem,46,38,46,47,216,3.9
Tempest of the Stellar War,Sci-fi,46,38,46,47,216,3.9
Tempest of the Stellar War,Adventure,46,38,46,47,216,3.9
Tempest of the Stellar War,Mecha,46,38,46,47,216,3.9
Tempest of the Stellar War,Action,46,38,46,47,216,3.9
Tempest of the Stellar War,Martial Arts,46,38,46,47,216,3.9
Father and Son,Drama,5,3,5,4,36,4.2
Father and Son,Romance,5,3,5,4,36,4.2
Father and Son,Sci-fi,5,3,5,4,36,4.2
Father and Son,Tragedy,5,3,5,4,36,4.2
Father and Son,Yaoi,5,3,5,4,36,4.2
Ex-Husband’s Call,Mature,7,7,14,21,62,4.1
Ex-Husband’s Call,Drama,7,7,14,21,62,4.1
Ex-Husband’s Call,Yaoi,7,7,14,21,62,4.1
Ex-Husband’s Call,Comedy,7,7,14,21,62,4.1
Ex-Husband’s Call,Slice of Life,7,7,14,21,62,4.1
Ex-Husband’s Call,Romance,7,7,14,21,62,4.1
Starting Life as a Baron,Mystery,4,7,3,2,13,3.4
Starting Life as a Baron,Xuanhuan,4,7,3,2,13,3.4
Starting Life as a Baron,Harem,4,7,3,2,13,3.4
Starting Life as a Baron,Adventure,4,7,3,2,13,3.4
Starting Life as a Baron,Slice of Life,4,7,3,2,13,3.4
I Don’t Want To Be a Hero,Action,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Adventure,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Comedy,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Fantasy,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Harem,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Sci-fi,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Supernatural,3,0,1,0,4,3.3
I Don’t Want To Be a Hero,Xuanhuan,3,0,1,0,4,3.3
The Downs of Marriage,Comedy,3,2,1,2,7,3.5
The Downs of Marriage,Romance,3,2,1,2,7,3.5
"A Helplessly Weak, Big Ginger Cat",Action,6,2,7,4,29,4
"A Helplessly Weak, Big Ginger Cat",Fantasy,6,2,7,4,29,4
"A Helplessly Weak, Big Ginger Cat",Mecha,6,2,7,4,29,4
"A Helplessly Weak, Big Ginger Cat",Romance,6,2,7,4,29,4
"A Helplessly Weak, Big Ginger Cat",Sci-fi,6,2,7,4,29,4
"A Helplessly Weak, Big Ginger Cat",Yaoi,6,2,7,4,29,4
Open a Clinic to Cultivate Myself,Action,10,4,2,5,9,3
Open a Clinic to Cultivate Myself,Harem,10,4,2,5,9,3
Open a Clinic to Cultivate Myself,Romance,10,4,2,5,9,3
I’m Really Not Targeting the Mages,Action,2,0,4,0,0,2.3
I’m Really Not Targeting the Mages,Adventure,2,0,4,0,0,2.3
I’m Really Not Targeting the Mages,Fantasy,2,0,4,0,0,2.3
I’m Really Not Targeting the Mages,Horror,2,0,4,0,0,2.3
I’m Really Not Targeting the Mages,Tragedy,2,0,4,0,0,2.3
Master of Great Calamity,Xianxia,5,1,0,3,7,3.4
Master of Great Calamity,Adventure,5,1,0,3,7,3.4
Master of Great Calamity,Action,5,1,0,3,7,3.4
Master of Great Calamity,Martial Arts,5,1,0,3,7,3.4
Master of Great Calamity,Fantasy,5,1,0,3,7,3.4
The Transmigration Survival Guide,Adventure,75,20,22,23,137,3.5
The Transmigration Survival Guide,Ecchi,75,20,22,23,137,3.5
The Transmigration Survival Guide,Harem,75,20,22,23,137,3.5
The Transmigration Survival Guide,Mature,75,20,22,23,137,3.5
The Transmigration Survival Guide,Romance,75,20,22,23,137,3.5
Mind Reading,Slice of Life,3,0,0,4,4,3.5
Mind Reading,Romance,3,0,0,4,4,3.5
Qingye Supernatural Office,Action,5,1,4,2,10,3.5
Qingye Supernatural Office,Horror,5,1,4,2,10,3.5
Qingye Supernatural Office,Mystery,5,1,4,2,10,3.5
Prodigiously Amazing Weaponsmith,Drama,55,36,24,27,122,3.5
Prodigiously Amazing Weaponsmith,Xianxia,55,36,24,27,122,3.5
